,auroc_mean,auprc_mean,n-rank_mean,last-tp-ratio_mean,last-tp-index_mean,auroc_std,auprc_std,n-rank_std,last-tp-ratio_std,last-tp-index_std
H3K27ac,0.9855298899463522,0.4563078469012745,0.8158660136603493,234858.4,0.6826817360377377,0.008604601883802734,0.07076152632828123,0.10985173065666945,124016.28188604914,0.24014055973693477
H3K4me3,0.985565190436656,0.45833323935493586,0.8187053411719342,235550.5,0.6831552917219988,0.00826145680566675,0.07037241495852492,0.10265203344618683,126282.4708827397,0.26358015039064586
H3K36me3,0.9848303817478785,0.46572314727302916,0.8235848165267704,252686.7,0.7350190269725638,0.008567123151758288,0.06242814327230542,0.10241044124688616,124837.2021835238,0.2650190063985294
H3K9me3,0.9849152327319407,0.4585232791961631,0.8209215902383973,249321.8,0.720742154264194,0.008855917250905178,0.06797163628198875,0.0984542020178437,129174.85616388352,0.2580880267693445
H3K27me3,0.9857028443424841,0.46145350547156727,0.8220169394859177,242768.8,0.7048670382443121,0.007502708954029766,0.06014558111800123,0.09663036269477106,123264.70686031748,0.24516722941079888
All epigenetic marks,0.98638675211528,0.4670788760847957,0.8400883577236273,240279.6,0.7036049352600952,0.007129429994983133,0.05675097770735513,0.08930910587491707,117887.5982401881,0.2435271098044027
H3K4me1,0.9845497578441142,0.4625279548531863,0.8226756591426257,243840.3,0.7102902229164428,0.009100999487854079,0.07310679065096089,0.09366965758165807,119572.91702894097,0.2579758421232341
H3K9ac,0.9854263751932674,0.46095375494169283,0.8222749120025739,239717.7,0.6960370210350003,0.009026573902928133,0.06270392532329022,0.09441033881516966,122916.10613914678,0.27227071678936154
Chromatin accessibility,0.9859999015950169,0.4610720649050236,0.8245343532152999,236173.3,0.6840371751803145,0.00742986333972619,0.05761912112684646,0.09262973683898112,123115.88930113775,0.2654203578453648
Sequence only,0.9872695951538043,0.4581517155542139,0.8168260610457498,230786.5,0.6679450620674303,0.005973838316474249,0.04723299726953038,0.08895293843077946,123002.36329701148,0.2668901615953338
